invoice_id	vendor_id	vendor_name	po_number	invoice_date	due_date	invoice_amount	currency	status	hold_code	gr_posted	payment_date
INV-1001	V001	Siemens AG	PO-5001	05-01-2024	04-02-2024	12500	EUR	PAID		YES	01-02-2024
INV-1002	V002	Bosch GmbH	PO-5002	07-01-2024	06-02-2024	8750	EUR	HOLD	PRICE_VARIANCE	YES	
INV-1003	V003	ABB Ltd	PO-5003	10-01-2024	09-02-2024	3200	USD	PAID		YES	08-02-2024
INV-1004	V001	Siemens AG	PO-5004	12-01-2024	11-02-2024	15000	EUR	HOLD	MISSING_GR	NO	
INV-1005	V004	Honeywell Inc	PO-5005	15-01-2024	14-02-2024	6400	USD	PAID		YES	13-02-2024
INV-1006	V002	Bosch GmbH	PO-5006	18-01-2024	17-02-2024	8750	EUR	HOLD	DUPLICATE		
INV-1007	V005	Schneider Electric	PO-5007	20-01-2024	19-02-2024	22000	EUR	PAID		YES	18-02-2024
INV-1008	V006	Emerson Electric	PO-5008	22-01-2024	21-02-2024	4100	USD	HOLD	PO_NOT_FOUND	NO	
INV-1009	V003	ABB Ltd	PO-5009	25-01-2024	24-02-2024	7800	USD	PAID		YES	22-02-2024
INV-1010	V007	Parker Hannifin	PO-5010	28-01-2024	27-02-2024	9300	USD	OVERDUE		YES	
INV-1011	V001	Siemens AG	PO-5011	01-02-2024	02-03-2024	18000	EUR	PAID		YES	28-02-2024
INV-1012	V008	Danfoss A/S	PO-5012	03-02-2024	04-03-2024	5600	EUR	HOLD	QTY_MISMATCH	YES	
INV-1013	V004	Honeywell Inc	PO-5013	05-02-2024	06-03-2024	11200	USD	PAID		YES	04-03-2024
INV-1014	V005	Schneider Electric	PO-5014	08-02-2024	09-03-2024	33000	EUR	HOLD	PRICE_VARIANCE	YES	
INV-1015	V009	Rockwell Automation	PO-5015	10-02-2024	11-03-2024	7500	USD	PAID		YES	09-03-2024
INV-1016	V006	Emerson Electric	PO-5016	12-02-2024	13-03-2024	4100	USD	HOLD	DUPLICATE		
INV-1017	V010	Yokogawa Electric	PO-5017	15-02-2024	16-03-2024	6200	USD	OVERDUE		YES	
INV-1018	V002	Bosch GmbH	PO-5018	18-02-2024	19-03-2024	9800	EUR	PAID		YES	17-03-2024
INV-1019	V007	Parker Hannifin	PO-5019	20-02-2024	21-03-2024	14500	USD	HOLD	MISSING_GR	NO	
INV-1020	V008	Danfoss A/S	PO-5020	22-02-2024	23-03-2024	3900	EUR	PAID		YES	21-03-2024
INV-1021	V003	ABB Ltd	PO-5021	25-02-2024	26-03-2024	8100	USD	HOLD	PO_NOT_FOUND	NO	
